"timeMillisSpent","score"
593,"0hard/-17800soft"
637,"0hard/-17701soft"
663,"0hard/-17601soft"
709,"0hard/-17502soft"
750,"0hard/-17403soft"
829,"0hard/-17304soft"
875,"0hard/-17205soft"
943,"0hard/-17105soft"
1001,"0hard/-17006soft"
1030,"0hard/-16907soft"
1056,"0hard/-16808soft"
1081,"0hard/-16709soft"
1108,"0hard/-16610soft"
1130,"0hard/-16511soft"
1152,"0hard/-16412soft"
1182,"0hard/-16313soft"
1238,"0hard/-16213soft"
1301,"0hard/-16112soft"
1340,"0hard/-16011soft"
1367,"0hard/-15912soft"
1399,"0hard/-15813soft"
1426,"0hard/-15712soft"
1473,"0hard/-15611soft"
1499,"0hard/-15512soft"
1529,"0hard/-15412soft"
1561,"0hard/-15313soft"
1583,"0hard/-15214soft"
1606,"0hard/-15115soft"
1628,"0hard/-15016soft"
1655,"0hard/-14916soft"
1677,"0hard/-14816soft"
1701,"0hard/-14716soft"
1730,"0hard/-14617soft"
1759,"0hard/-14518soft"
1782,"0hard/-14419soft"
1811,"0hard/-14319soft"
1836,"0hard/-14220soft"
1868,"0hard/-14120soft"
1898,"0hard/-14020soft"
1924,"0hard/-13921soft"
1948,"0hard/-13823soft"
1978,"0hard/-13723soft"
2007,"0hard/-13625soft"
2033,"0hard/-13526soft"
2060,"0hard/-13428soft"
2084,"0hard/-13329soft"
2111,"0hard/-13230soft"
2137,"0hard/-13131soft"
2161,"0hard/-13032soft"
2189,"0hard/-12933soft"
2218,"0hard/-12834soft"
2244,"0hard/-12735soft"
2269,"0hard/-12636soft"
2293,"0hard/-12536soft"
2319,"0hard/-12437soft"
2344,"0hard/-12338soft"
2372,"0hard/-12239soft"
2397,"0hard/-12140soft"
2425,"0hard/-12041soft"
2454,"0hard/-11942soft"
2481,"0hard/-11843soft"
2515,"0hard/-11744soft"
2547,"0hard/-11645soft"
2580,"0hard/-11546soft"
2608,"0hard/-11447soft"
2632,"0hard/-11348soft"
2659,"0hard/-11249soft"
2690,"0hard/-11150soft"
2715,"0hard/-11051soft"
2744,"0hard/-10952soft"
2770,"0hard/-10853soft"
2795,"0hard/-10754soft"
2822,"0hard/-10655soft"
2848,"0hard/-10556soft"
2876,"0hard/-10456soft"
2899,"0hard/-10357soft"
2930,"0hard/-10258soft"
2957,"0hard/-10159soft"
2985,"0hard/-10060soft"
3012,"0hard/-9961soft"
3039,"0hard/-9862soft"
3065,"0hard/-9763soft"
3093,"0hard/-9666soft"
3120,"0hard/-9568soft"
3151,"0hard/-9469soft"
3180,"0hard/-9369soft"
3210,"0hard/-9270soft"
3237,"0hard/-9171soft"
3269,"0hard/-9072soft"
3294,"0hard/-8973soft"
3324,"0hard/-8874soft"
3348,"0hard/-8775soft"
3380,"0hard/-8676soft"
3410,"0hard/-8577soft"
3436,"0hard/-8478soft"
3466,"0hard/-8379soft"
3495,"0hard/-8280soft"
3521,"0hard/-8182soft"
3547,"0hard/-8083soft"
3574,"0hard/-7984soft"
3611,"0hard/-7885soft"
3651,"0hard/-7786soft"
3689,"0hard/-7687soft"
3719,"0hard/-7588soft"
3748,"0hard/-7489soft"
3776,"0hard/-7391soft"
3803,"0hard/-7291soft"
3830,"0hard/-7192soft"
3859,"0hard/-7093soft"
3889,"0hard/-6994soft"
3916,"0hard/-6895soft"
3945,"0hard/-6796soft"
3974,"0hard/-6697soft"
4000,"0hard/-6598soft"
4030,"0hard/-6500soft"
4060,"0hard/-6401soft"
4091,"0hard/-6302soft"
4118,"0hard/-6203soft"
4147,"0hard/-6104soft"
4179,"0hard/-6004soft"
4211,"0hard/-5905soft"
4245,"0hard/-5806soft"
4279,"0hard/-5707soft"
4308,"0hard/-5608soft"
4336,"0hard/-5509soft"
4366,"0hard/-5411soft"
4397,"0hard/-5312soft"
4427,"0hard/-5213soft"
4457,"0hard/-5115soft"
4492,"0hard/-5017soft"
4519,"0hard/-4917soft"
4547,"0hard/-4818soft"
4581,"0hard/-4720soft"
4610,"0hard/-4621soft"
4641,"0hard/-4522soft"
4667,"0hard/-4423soft"
4698,"0hard/-4324soft"
4733,"0hard/-4225soft"
4774,"0hard/-4127soft"
4821,"0hard/-4028soft"
4855,"0hard/-3930soft"
4892,"0hard/-3830soft"
4932,"0hard/-3731soft"
4980,"0hard/-3632soft"
5029,"0hard/-3533soft"
5075,"0hard/-3435soft"
5145,"0hard/-3337soft"
5225,"0hard/-3242soft"
5319,"0hard/-3145soft"
5453,"0hard/-3048soft"
5494,"0hard/-2949soft"
5544,"0hard/-2850soft"
5587,"0hard/-2751soft"
5630,"0hard/-2652soft"
5673,"0hard/-2555soft"
5704,"0hard/-2456soft"
5733,"0hard/-2360soft"
5767,"0hard/-2263soft"
5801,"0hard/-2164soft"
5833,"0hard/-2065soft"
5866,"0hard/-1966soft"
5897,"0hard/-1870soft"
5928,"0hard/-1772soft"
5960,"0hard/-1674soft"
5992,"0hard/-1577soft"
6024,"0hard/-1478soft"
6053,"0hard/-1383soft"
6083,"0hard/-1291soft"
6114,"0hard/-1196soft"
6145,"0hard/-1100soft"
6176,"0hard/-1015soft"
6207,"0hard/-923soft"
6240,"0hard/-827soft"
6270,"0hard/-731soft"
6301,"0hard/-633soft"
6331,"0hard/-631soft"
6362,"0hard/-584soft"
6393,"0hard/-563soft"
6426,"0hard/-550soft"
6456,"0hard/-548soft"
6486,"0hard/-534soft"
6515,"0hard/-523soft"
6546,"0hard/-521soft"
6577,"0hard/-496soft"
6608,"0hard/-494soft"
6636,"0hard/-478soft"
6667,"0hard/-475soft"
6699,"0hard/-472soft"
6732,"0hard/-464soft"
